"Kingdom","Phylum","Class","Subclass","Infraclass","Subterclass","Superorder","Order","Superfamily","Family","Genus","Species","Subfamily","Tribe","Subphylum","Suborder","Superclass","Subgenus","Infraorder","Parvorder","Subspecies","Infraphylum","Parvphylum","Gigaclass","Section","Subsection","Flokkun","id","N","Artal","skipting","stod","Nu","A","worms"
"Animalia","Arthropoda","Malacostraca","Eumalacostraca",,,"Peracarida","Amphipoda",,,,,,,"Crustacea",,"Multicrustacea",,,,,,,,,,"Amphipoda","E4A",1,2017,4,"E4",4,"1135",1135
"Animalia","Arthropoda","Malacostraca","Eumalacostraca",,,"Peracarida","Amphipoda",,,,,,,"Crustacea",,"Multicrustacea",,,,,,,,,,"Amphipoda","E4B",1,2017,4,"E4",4,"1135",1135
"Animalia","Arthropoda","Malacostraca","Eumalacostraca",,,"Peracarida","Amphipoda",,,,,,,"Crustacea",,"Multicrustacea",,,,,,,,,,"Amphipoda","E3B",1,2014,4,"E3",4,"1135",1135
"Animalia","Arthropoda","Malacostraca","Eumalacostraca",,,"Peracarida","Amphipoda",,,,,,,"Crustacea",,"Multicrustacea",,,,,,,,,,"Amphipoda","E4B",1,2016,1,"E4",1,"1135",1135
"Animalia","Arthropoda","Malacostraca","Eumalacostraca",,,"Peracarida","Amphipoda",,,,,,,"Crustacea",,"Multicrustacea",,,,,,,,,,"Amphipoda","C4C",1,2016,4,"C4",4,"1135",1135
"Animalia","Arthropoda","Malacostraca","Eumalacostraca",,,"Peracarida","Amphipoda",,,,,,,"Crustacea",,"Multicrustacea",,,,,,,,,,"Amphipoda","E3B",1,2015,4,"E3",4,"1135",1135
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Terebellida",,"Terebellidae","Amphitrite","Amphitrite affinis","Terebellinae","Terebellini",,"Terebelliformia",,,,,,,,,,,"Amphitrite affinis","U1A",1,2013,1,"U1",1,"131472",131472
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Terebellida",,"Terebellidae","Amphitrite","Amphitrite cirrata","Terebellinae","Terebellini",,"Terebelliformia",,,,,,,,,,,"Amphitrite cirrata","E3C",1,2014,4,"E3",4,"131474",131474
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Terebellida",,"Terebellidae","Amphitrite","Amphitrite cirrata","Terebellinae","Terebellini",,"Terebelliformia",,,,,,,,,,,"Amphitrite cirrata","E3A",3,2014,1,"E3",3,"131474",131474
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Terebellida",,"Terebellidae","Amphitrite","Amphitrite cirrata","Terebellinae","Terebellini",,"Terebelliformia",,,,,,,,,,,"Amphitrite cirrata","E3C",1,2014,1,"E3",1,"131474",131474
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Terebellida",,"Terebellidae","Amphitrite","Amphitrite cirrata","Terebellinae","Terebellini",,"Terebelliformia",,,,,,,,,,,"Amphitrite cirrata","E3C",1,2017,1,"E3",1,"131474",131474
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Terebellida",,"Terebellidae","Amphitrite","Amphitrite cirrata","Terebellinae","Terebellini",,"Terebelliformia",,,,,,,,,,,"Amphitrite cirrata","E3C",1,2016,1,"E3",1,"131474",131474
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Terebellida",,"Terebellidae","Amphitrite","Amphitrite cirrata","Terebellinae","Terebellini",,"Terebelliformia",,,,,,,,,,,"Amphitrite cirrata","E3A",1,2015,1,"E3",1,"131474",131474
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Terebellida",,"Terebellidae","Amphitrite","Amphitrite cirrata","Terebellinae","Terebellini",,"Terebelliformia",,,,,,,,,,,"Amphitrite cirrata","U1A",1,2013,1,"U1",1,"131474",131474
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Terebellida",,"Terebellidae","Amphitrite","Amphitrite cirrata","Terebellinae","Terebellini",,"Terebelliformia",,,,,,,,,,,"Amphitrite cirrata","E3B",3,2014,1,"E3",3,"131474",131474
"Animalia","Cnidaria","Anthozoa",,,,,,,,,,,,,,,,,,,,,,,,"Anthozoa","E3A",1,2014,1,"E3",1,"1292",1292
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Spionida",,"Apistobranchidae","Apistobranchus","Apistobranchus tullbergi",,,,"Spioniformia",,,,,,,,,,,"Apistobranchus tullbergi","B5",4,1999,1,"B5",4,"129851",129851
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Spionida",,"Apistobranchidae","Apistobranchus","Apistobranchus tullbergi",,,,"Spioniformia",,,,,,,,,,,"Apistobranchus tullbergi","B8",1,1999,1,"B8",1,"129851",129851
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Spionida",,"Apistobranchidae","Apistobranchus","Apistobranchus tullbergi",,,,"Spioniformia",,,,,,,,,,,"Apistobranchus tullbergi","E3C",1,2017,4,"E3",4,"129851",129851
"Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",,,"Spionida",,"Apistobranchidae","Apistobranchus","Apistobranchus tullbergi",,,,"Spioniformia",,,,,,,,,,,"Apistobranchus tullbergi","E3A",1,2015,4,"E3",4,"129851",129851
